sending,receiving,amount,risk_score
0x00262fa3b21847775e2db42965d0192e8dfe5bdc,0x757e936769ebc13de3e88f783169b547e76c1f84,495.1051223,43.38189655
0x004fd71e61d0fb00f974635faec45195b8239607,0xd6e251c23cbf52dbd472f079147873e655d8096f,488.1194012,46.15560345
0x0216eabb3496a5f88b1e399ad067fcbcc6889a48,0x5773c83bf1d67736a72a2d2b2d088ec37aacda77,486.1739695,42.19655172
0x027d34ed81d38dfc2c8de3f5f05132aa931d25a6,0x6ea3d72549454439f7d6ed396f1b8e79f2543561,489.4864599,45.20948276
0x02ec34da72ea2232fb449fb91663ab585d6b839a,0x9fa9f520f65ecee157a73126a6de3a9adbe31eaa,487.4936555,42.30603448
0x02ec8396ef494846a98ae386519bf6d91ed8d110,0x6052ba813476bc1a645b8aefd506802aaf80fff5,490.973916,44.06422414
0x06c60f6dd9f0e6bd96b827ec7f0de00b916e71db,0x27db3615327453b016a3a5596b7afb96d3fc342b,491.0037839,44.6012931
0x06c60f6dd9f0e6bd96b827ec7f0de00b916e71db,0xe4ecdf1ea42eca4cc6c6dccb5d823c0fe247c411,489.5439857,49.07801724
0x081ceadbcc5c2f293711b102652baa1cbccf4e52,0xf113ab890bc550a237110a776aa1b10ee9d91704,491.5176959,36.62112069
0x088005dc13fff2c1750bb10901962fcaba77fbc2,0x015589d9f0bf74c5408f28c950738a210c093698,490.1255074,52.76336207
0x0b9fa7d378875d90d20f6f5ad56540baf0a76d71,0x30af547e2b42b533d415d9f210fee0b85bb9526f,490.0338213,47.70732759
0x0b9fa7d378875d90d20f6f5ad56540baf0a76d71,0x7aa588d3849b9d182dbe78f93fe3a324f2b09771,489.4933011,48.3862069
0x0bb3d56593906e55aaa3b3f3e525b90b857fe0ce,0x4281c296369fe85620450f5933b9fcc33287bfab,486.826004,43.35086207
0x0e9439af1928c126cad134ed9565dbb5e49f9999,0x9d877157c1c811cc5b7593c43719ac825f6c1d88,496.5660445,48.87801724
0x0ed9a86e19a3eb8081c036e7bc9e51f4c835c9c2,0xf454690f55bcddc5d8a29268d60bc158c49da5bc,495.2884415,44.54525862
0x0f91c61e58fd468b96f50aa53673b9ffccfaa89a,0x002bcd751410a69b3bce463890abb2fcab81a755,491.0786045,42.67241379
0x11740264e31fed3fb732890389a683275081b2d8,0xc1c425042188c182c720f0853279cadf5e75ca87,494.0770483,42.61034483
0x11e01ac1b26aa29d44c9629c05ad5bea64796ef2,0x28b4fd95f749cea7ac41fe7fdd5cecb91bc62358,497.3808359,40.53275862
0x1200d1cdce4cf718b0ed069ae230020af3ad84c5,0x6396c19a44ccfa30c861807e1b8e98a7ab2b8dc2,488.9898892,38.31163793
0x143aa053fd01d51d1bb84be766aa015f940ccb42,0x93efefc25fcaf31d7695f28018d7a11ece55457f,487.6646445,38.77413793
0x166875a4412618bcb6a22da6e6c08f7aaf855837,0x0cf5993973e860bb267f2bd92583f94e02359fff,490.352401,39.18491379
0x16e2bd9d9757667c267c8a1f0bf01b830eb44b0d,0xd0c1b21a6179c33593158ff9c04d83a6398e3c4f,497.5379327,37.34655172
0x1853e897aee177f9924487a176cf546f8431385c,0x4420e64747c571898084370953e1d74c786f8de5,488.8014324,46.75689655
0x186ecfd89812df6cd6bf438e65ec4d7b69c912c7,0xf454690f55bcddc5d8a29268d60bc158c49da5bc,497.6828763,46.51336207
0x1a4c7d97186ff35d20040328e9eb517a507dfe39,0x95a91a4a20a4522edc7bd90efe20287e365b3637,493.2320044,55.85043103
0x1ba6eae7fd8d9706e647f556e0937d40155898c7,0x179012cc8ef3bb58412e18ed69981d487554fd9a,494.2003588,52.40172414
0x1bb2709ec3e970c36b6fcda1eba92a7734440f74,0xa182118703eca1c8a55b242298bda53985f1fb07,491.3449012,44.99353448
0x1cc0a9c31145dd2838e99d2f1378b3edbec6cef0,0x3f7c2d17d7127e452c261e7b532138cac1eb03f3,493.7009878,46.81637931
0x1d29e3b6f9cfd846fc2cd0d8fa8df9118fcf4ff1,0xefc844da1fbc4b10b9db59ea365236140cf71ec4,495.2605934,48.82672414
0x1de02529c5c5df6dfb7674ef8773117c2dff7cd4,0x09f657e02de9e335eddc809cc2a7b4a4ed8454b8,496.323336,43.94094828
0x1e9373af5f508c95b8910a70c5bbe5db25be5f83,0x1d315040f1b18ac96a2919b057043099cd275f79,496.1397007,42.61637931
0x1eebe7e77f5a8fb67fcb71baff38ec24bfd92f61,0x95a91a4a20a4522edc7bd90efe20287e365b3637,493.0623883,47.76293103
0x228d70f9826d31987fa8c873d056a78ed20bbf54,0x8011eabd635fba655eec4f0ff821f19c49886246,495.3633951,47.65043103
0x22ccdd76da6ea44a34cf71d61a6f664a4efb5e60,0x2db898c7146a79658284d3c1f378b0bd4de02348,498.4293929,43.57715517
0x25b24fa3a7fdbb89787febe27b968689f5f9abd7,0x0f00f63e28dc0e131d2df0859a6e700a79430a72,489.1793561,59.50603448
0x277b36ba56a9b705d63de9d7da8b44bf0fe43a65,0x1cbae106f89f3cd4d4ba3d4d92cf2caedeb1dbac,488.5108247,43.82284483
0x279a3f4d766593afa57ff1b8de71c9923ddaa02f,0x1f1d8ed2ce1b2cb9718a9a5a0fbb31d6bd92130a,488.7513234,49.63232759
